Ultimate.Parent	Shareholder	Shareholder.Region	Shareholder.Category
LING TING LEONG	LING TING LEONG	Asia	Individual
LIU BING RONG	LIU BING RONG	Asia	Individual
LIU DING QUAN	LIU DING QUAN	Asia	Individual
LIU FUI MOY	LIU FUI MOY	-	Individual
LIU HAN YUAN	LIU HAN YUAN	Asia	Individual
LIU HAN ZHONG	LIU HAN ZHONG	Asia	Individual
LIU HSIU JEN	LIU HSIU JEN	Asia	Individual
LIU JIE /PROC/	LIU JIE /PROC/	Asia	Individual
LIU SIN	LIU SIN	-	Individual
LIU DE QUN FAMILY	LIU XIAO QING	Asia	Individual
LIVINGSTON MARK A	LIVINGSTON MARK A	North America	Individual
LO FUI MING	LO FUI MING	Asia	Individual
LO TECK YONG	LO TECK YONG	Asia	Individual
LOCK DAVID /CRAIG/	LOCK DAVID /CRAIG/	Pacific	Individual
LOE OLA	LOE OLA	Europe	Individual
LOFTSSON KRISTJAN FAMILY	LOFTSSON KRISTJAN FAMILY	Europe	Individual
LOKE LIN THAI /BORNEO AQUA/	LOKE LIN THAI /BORNEO AQUA/	Asia	Individual
LOW WOO SWEE	LOW WOO SWEE	Asia	Individual
LOW YIEW HOCK JAMES ALVIN	LOW YIEW HOCK JAMES ALVIN	Asia	Individual
LU LI LI /CHINA/	LU LI LI /CHINA/	Asia	Individual
LU ZHE	LU ZHE	Asia	Individual
LUKMITO OEI HARRY	LUKMITO OEI HARRY	Asia	Individual
MA CHUAN XING	MA CHUAN XING	Asia	Individual
MA PEI LIN /TONGWEI /	MA PEI LIN /TONGWEI /	Asia	Individual
MACDONALD COLIN E	MACDONALD COLIN E	North America	Individual
MACDONALD MICHAEL CHARLES	MACDONALD MICHAEL CHARLES	North America	Individual
MACLEOD RORY J F	MACLEOD RORY J F	Pacific	Individual
MAENGTAB NARUEMONT	MAENGTAB NARUEMONT	Asia	Individual
MAHATHON ARUNI	MAHATHON ARUNI	Asia	Individual
MAHODY M JOLENE	MAHODY M JOLENE	North America	Individual
MAHOMED SULIMAN NOOR	MAHOMED SULIMAN NOOR	Africa	Individual
MANABE SEIJI /DAISUI/	MANABE SEIJI /DAISUI/	Asia	Individual
MARGOLIS DAVID /SEKUNJALO/	MARGOLIS DAVID /SEKUNJALO/	Africa	Individual
MASFEN PETER HANBURY	MASFEN PETER HANBURY	Pacific	Individual
MASOVAL FAMILY	MASOVAL FAMILY	Europe	Individual
MASUDA YASUTOSHI	MASUDA YASUTOSHI	Asia	Individual
MATON BRUCE	MATON BRUCE	-	Individual
MATSUNAMI EIKO	MATSUNAMI EIKO	Asia	Individual
MATSUO MASAHIKO /YOKOHAMA MARUUO/	MATSUO MASAHIKO /YOKOHAMA MARUUO/	Asia	Individual
MATSUOKA NOBUAKI /AHJIKAN/	MATSUOKA NOBUAKI /AHJIKAN/	Asia	Individual
MATTE LARRAIN FAMILY	MATTE LARRAIN FAMILY	Latin America	Individual
MCCALLUM ALLAN DONALD	MCCALLUM ALLAN DONALD	Pacific	Individual
MCINTOSH JEBB DOUGLAS	MCINTOSH JEBB DOUGLAS	-	Individual
MEHANA VUKILE CHARLES	MEHANA VUKILE CHARLES	Africa	Individual
MELAND FAMILY	MELAND FAMILY	Europe	Individual
MEYER JOERG /HUGLI/	MEYER JOERG /HUGLI/	Europe	Individual
MIKAMI FAMILY /UORIKI/	MIKAMI KAZUMI	Asia	Individual
MILLER RALPH ANDERSON	MILLER RALPH ANDERSON	North America	Individual
MILNER C	MILNER C	North America	Individual
MIWA MITSUYUKI	MIWA MITSUYUKI	Asia	Individual
MOGSTER FAMILY	MOGSTER FAMILY	Europe	Individual
MOOSA FAMILY	MOOSA FAMILY	Africa	Individual
MORI FUMIHIRO	MORI FUMIHIRO	Asia	Individual
MORITA TAKEAKI	MORITA TAKEAKI	Asia	Individual
ARIYOSHI FAMILY	MORIYA MIHO	Asia	Individual
MOUTON JOHANNES JACOBUS	MOUTON JOHANNES JACOBUS	-	Individual
MUNDEL ROGER PETER	MUNDEL ROGER PETER	-	Individual
MURATA YOSHIHIRO	MURATA YOSHIHIRO	Asia	Individual
MURPHY RAELENE	MURPHY RAELENE	Pacific	Individual
MUSHAKY FAMILY	MUSHAKY FAMILY	Africa	Individual
NAKABE FAMILY	NAKABE MIDORI	Asia	Individual
NAKABE TETSUJI	NAKABE TETSUJI	Asia	Individual
NAKAGAWA KOJI /KYOTO/	NAKAGAWA KOJI /KYOTO/	Asia	Individual
NAKAMOTO KOTARO	NAKAMOTO KOTARO	Asia	Individual
NAKANO TAKAO	NAKANO TAKAO	Asia	Individual
NAKATA MASAAKI	NAKATA MASAAKI	Asia	Individual
NAKATANI NOBORU /AHJIKAN/	NAKATANI NOBORU /AHJIKAN/	Asia	Individual
NARITA HIDEAKI	NARITA HIDEAKI	Asia	Individual
NATORI NAMIO	NATORI NAMIO	Asia	Individual
NATORI FAMILY	NATORI SABURO	Asia	Individual
NATORI FAMILY	NATORI YUICHIRO	Asia	Individual
NG AI CHOO	NG AI CHOO	-	Individual
HAN KEEN JUAN FAMILY	NG CHOI HONG	Asia	Individual
NG SAI BEE	NG SAI BEE	-	Individual
NGIAM BUEY BUEY /BORNEO AQUA/	NGIAM BUEY BUEY /BORNEO AQUA/	Asia	Individual
NGUYEN HUNG VAN /IDI/	NGUYEN HUNG VAN /IDI/	Asia	Individual
NI LI MING /PROC/	NI LI MING /PROC/	Asia	Individual
NI SI LI	NI SI LI	Asia	Individual
NIRUTTINANON FAMILY	NIRUTTINANON CHENG	Asia	Individual
NIRUTTINANON CHINTANA	NIRUTTINANON CHINTANA	Asia	Individual
NIRUTTINANON NAKORN	NIRUTTINANON NAKORN	Asia	Individual
NIRUTTINANON NARIN	NIRUTTINANON NARIN	Asia	Individual
NISHIMURA FAMILY /GLOBAL FOOD CREATORS/	NISHIMURA ETSURO	Asia	Individual
NISHIMURA FAMILY /GLOBAL FOOD CREATORS/	NISHIMURA FAMILY /GLOBAL FOOD CREATORS/	Asia	Individual
NISHIMURA FAMILY /GLOBAL FOOD CREATORS/	NISHIMURA KOICHI /GLOBAL FOOD CREATORS/	Asia	Individual
NISHIMURA MAKIKO	NISHIMURA MAKIKO	Asia	Individual
NISHIMURA FAMILY /GLOBAL FOOD CREATORS/	NISHIMURA MIEKO	Asia	Individual
NISHINA FAMILY	NISHINA FAMILY	Asia	Individual
NISHINA FAMILY	NISHINA KEISUKE	Asia	Individual
NITTIPHO PHONGSRI	NITTIPHO PHONGSRI	-	Individual
NOGUERA GORGET PABLO ERNESTO	NOGUERA GORGET PABLO ERNESTO	Latin America	Individual
NORDHAMMER FAMILY	NORDHAMMER LEIF INGE	Europe	Individual
NOZAKI FAMILY /ICHIMASA KAMABOKO/	NOZAKI FAMILY /ICHIMASA KAMABOKO/	Asia	Individual
NOZAKI FAMILY /ICHIMASA KAMABOKO/	NOZAKI MASAHIRO	Asia	Individual
OGURA KOJI /CHUBU SUISAN/	OGURA KOJI /CHUBU SUISAN/	Asia	Individual
OHMORI MINORU	OHMORI MINORU	Asia	Individual
ARIYOSHI FAMILY	OHNIWA MIWA	Asia	Individual
OHTSU FAMILY	OHTSU FAMILY	Asia	Individual
OMIKAWA KAZUYOSHI	OMIKAWA KAZUYOSHI	Asia	Individual
ONARHEIM LEIF FRODE	ONARHEIM LEIF FRODE	Europe	Individual
ONEILL JEFF J	ONEILL JEFF J	North America	Individual
ONG CHING PING	ONG CHING PING	-	Individual
ONO KOJI /SHINYEI/	ONO KOJI /SHINYEI/	Asia	Individual
OTAKE TOSHIO /TSUKIJI UOICHIBA/	OTAKE TOSHIO /TSUKIJI UOICHIBA/	Asia	Individual
OWEN DAVID A /OMEGA/	OWEN DAVID A /OMEGA/	North America	Individual
PACE ROBERT L	PACE ROBERT L	North America	Individual
PADDICK BRENDAN J	PADDICK BRENDAN J	North America	Individual
PAHAD YOUSUF	PAHAD YOUSUF	Africa	Individual
PARK JAE-HEUNG	PARK JAE-HEUNG	Asia	Individual
PARK JOO-HEE /SILLA/	PARK JOO-HEE /SILLA/	Asia	Individual
PARK SANG-HEE /SILLA/	PARK SANG-HEE /SILLA/	Asia	Individual
PARK SOOK-HEE	PARK SOOK-HEE	Asia	Individual
PARK SU-JIN /SILLA/	PARK SU-JIN /SILLA/	Asia	Individual
PARK JOON HYUNG FAMILY	PARK SUNG-JIN /SILLA/	Asia	Individual
PARK YEON-JIN /SILLA/	PARK YEON-JIN /SILLA/	Asia	Individual
PARKER L A	PARKER L A	Africa	Individual
PEETAKANONDA SOMKIAT	PEETAKANONDA SOMKIAT	Asia	Individual
PENG HUI /CHINA/	PENG HUI /CHINA/	Asia	Individual
PEREZ NIEVAS HEREDERO JOSE ANTONIO	PEREZ NIEVAS HEREDERO JOSE ANTONIO	Europe	Individual
PERICH FAMILY	PERICH FAMILY	Pacific	Individual
PHANARAT KRIT	PHANARAT KRIT	Asia	Individual
PHETWORAKUN SUPHITRA	PHETWORAKUN SUPHITRA	Asia	Individual
PHIRATIKUN PIW	PHIRATIKUN PIW	-	Individual
PHOOP FAMILY	PHOOP LUE CHA	Asia	Individual
PICHEDVANICHOK THANATHIP	PICHEDVANICHOK THANATHIP	Asia	Individual
PICHEGPONGSA ANEK	PICHEGPONGSA ANEK	-	Individual
PICHEGPONGSA PITTAYA	PICHEGPONGSA PITTAYA	-	Individual
PICHEGPONGSA VARANYU	PICHEGPONGSA VARANYU	-	Individual
PICHETTAWANITCHOKE FAMILY	PICHETTAWANITCHOKE THANATHIP	Asia	Individual
PICHETTAWANITCHOKE FAMILY	PICHETTAWANITCHOKE WINTHANEE	Asia	Individual
PICHETTAWANITCHOKE FAMILY	PICHETTAWANITCHOKE WIPAPORN	Asia	Individual
PISITVANICHOCHOKE SUVIT	PISITVANICHOCHOKE SUVIT	Asia	Individual
PITTMAN MICHAEL D	PITTMAN MICHAEL D	North America	Individual
PONGPIRODOM CHARASSRI	PONGPIRODOM CHARASSRI	Asia	Individual
PONGPIRODOM VITIT	PONGPIRODOM VITIT	Asia	Individual
PORUS JACK LEE	PORUS JACK LEE	Pacific	Individual
PRACHAKTHAM HAT DI	PRACHAKTHAM HAT DI	Asia	Individual
PRASITSUPPHAPHON NOPPOL	PRASITSUPPHAPHON NOPPOL	Asia	Individual
PUNNASRI SUPANNEE	PUNNASRI SUPANNEE	Asia	Individual
QUIROGA MORENO FAMILY	QUIROGA MORENO ISIDORO ERNESTO	Latin America	Individual
QUIROGA MORENO FAMILY	QUIROGA MORENO MARIA VICTORIA	Latin America	Individual
RATKITPRAKAN PHITHAK	RATKITPRAKAN PHITHAK	Asia	Individual
REINKIND ASBJORN	REINKIND ASBJORN	Europe	Individual
REVHAUG OLAV	REVHAUG OLAV	Europe	Individual
RINTHAPHON CHURAIWAN	RINTHAPHON CHURAIWAN	Asia	Individual
RITCHEY DANIEL	RITCHEY DANIEL	North America	Individual
ROBERTSON FRED	ROBERTSON FRED	Africa	Individual
ROBERTSON ULPHA	ROBERTSON ULPHA	Africa	Individual
ROKKE KJELL INGE	ROKKE KJELL INGE	Europe	Individual
RORABECK TIMOTHY	RORABECK TIMOTHY	North America	Individual
ROSEWARNE GRANTLEY BRUCE	ROSEWARNE GRANTLEY BRUCE	Pacific	Individual
ROTHENBERGER KIRK	ROTHENBERGER KIRK	North America	Individual
RUEANGSAKWICHIT ANANYA	RUEANGSAKWICHIT ANANYA	Asia	Individual
RUJIRASOPON FAMILY	RUJIRASOPON CHAROEN	Asia	Individual
RUJIRASOPON JARANPOJ	RUJIRASOPON JARANPOJ	Asia	Individual
RUJIRASOPON FAMILY	RUJIRASOPON JARANPON	Asia	Individual
RUJIRASOPON FAMILY	RUJIRASOPON JARASPON	Asia	Individual
RUJIRASOPON FAMILY	RUJIRASOPON NIRAMON	Asia	Individual
RUJIRASOPON FAMILY	RUJIRASOPON SONGKIAT	Asia	Individual
RYAN MARK ANDREW	RYAN MARK ANDREW	Pacific	Individual
RYDER JOHN WILLIAM DUDLEY FAMILY	RYDER JOHN WILLIAM DUDLEY	Pacific	Individual
CHUNG BO-YEON FAMILY	RYU HYE-JUNG	Asia	Individual
SAEHUENG PHIRIYAPHON	SAEHUENG PHIRIYAPHON	Asia	Individual
SAENGTHONG LUAN	SAENGTHONG LUAN	-	Individual
SAITO YOSHIO /CHUBU SUISAN/	SAITO YOSHIO /CHUBU SUISAN/	Asia	Individual
SAKAMOTO DAICHI	SAKAMOTO DAICHI	Asia	Individual
SAKAMOTO YOHEI	SAKAMOTO YOHEI	Asia	Individual
SAKATA KAZUHIRO	SAKATA KAZUHIRO	Asia	Individual
SAMITANON KINGKAN	SAMITANON KINGKAN	Asia	Individual
SANDBERG NILS ERIK	SANDBERG NILS ERIK	Europe	Individual
SANTIVEJKUL KAMALES	SANTIVEJKUL KAMALES	-	Individual
SANTOSA FAMILY	SANTOSA HANDOJO	Asia	Individual
SARQUIS MENASSA SERGIO	SARQUIS MENASSA SERGIO	Latin America	Individual
SASADA ETSURO	SASADA ETSURO	Asia	Individual
SATHITSUKSANO SOMSAK	SATHITSUKSANO SOMSAK	Asia	Individual
SATO FAMILY /SATOH/	SATO MASAYUKI /SATOH/	Asia	Individual
SATO NORIHIRO	SATO NORIHIRO	Asia	Individual
SATO TOSHIKO /SATOH/	SATO TOSHIKO /SATOH/	Asia	Individual
SCHECHTER JOSHUA E	SCHECHTER JOSHUA E	North America	Individual
SCHOLTES BRET D	SCHOLTES BRET D	North America	Individual
SEAH WEE LIUM	SEAH WEE LIUM	Asia	Individual
SEIBOLD ANDREAS	SEIBOLD ANDREAS	Europe	Individual
SEKI HITOSHI	SEKI HITOSHI	Asia	Individual
SEKIMOTO YUKIYA	SEKIMOTO YOSHINARI	Asia	Individual
SEKINE HIROYOSHI	SEKINE HIROYOSHI	Asia	Individual
SENEEPAKONKAI FAMILY	SENEEPAKONKAI ARPORN	Asia	Individual
SENEEPAKONKAI FAMILY	SENEEPAKONKAI ROJSAK	Asia	Individual
SENIPRAKORNKRAI ANUROJ	SENIPRAKORNKRAI ANUROJ	-	Individual
SERIA RASHID AHMED	SERIA RASHID AHMED	-	Individual
SETTHASUNTHARI PHANNATHIP	SETTHASUNTHARI PHANNATHIP	Asia	Individual
SHAH NISHITA /WATERBASE/	SHAH NISHITA /WATERBASE/	Asia	Individual
SHEAR ERROL	SHEAR ERROL	Africa	Individual
SHEN ZHI KUN	SHEN ZHI KUN	Asia	Individual
SHI JING REN	SHI JING REN	-	Individual
SHIMAWAKI YOSHITOMO	SHIMAWAKI YOSHITOMO	Asia	Individual
SHIMIZU MOTOKAZU	SHIMIZU MOTOKAZU	Asia	Individual
CHUNG BO-YEON FAMILY	SHIN GYUNG-MIN	Asia	Individual
CHUNG BO-YEON FAMILY	SHIN HWA-JIN	Asia	Individual
SHIRAKAWA HIDEKI	SHIRAKAWA HIDEKI	Asia	Individual
SIRIPHONG NIPHAPHON	SIRIPHONG NIPHAPHON	Asia	Individual
SITTIKRAMAYTAAGUN AYKGAPON	SITTIKRAMAYTAAGUN AYKGAPON	-	Individual
SIU LING TSE	SIU LING TSE	-	Individual
SIVERTSEN MARTIN	SIVERTSEN MARTIN	Europe	Individual
SLAUCK BEVERLEY ANN	SLAUCK BEVERLEY ANN	Africa	Individual
SMITH IAN D /CLEARWATER/	SMITH IAN D /CLEARWATER/	North America	Individual
SNOVE OLA	SNOVE OLA	Europe	Individual
SNOW PAUL W	SNOW PAUL W	North America	Individual
SNYDERS ARON JOHANNES	SNYDERS ARON JOHANNES	Africa	Individual
SOH LIM CHANG	SOH LIM CHANG	Asia	Individual
Inversiones los Olivos SA	SOLARI DONAGGIO FAMILY	Latin America	Individual
SOLBERG MARIT	SOLBERG MARIT	Europe	Individual
VONGVADHANAROJ SURAPON FAMILY	SORAKRAIKITIKUL SORAYA	Asia	Individual
SORENSEN JENS BJERG	SORENSEN JENS BJERG	Europe	Individual
SOSNOV ILYA GENNADYEVICH	SOSNOV ILYA GENNADYEVICH	Europe	Individual
SPACKMAN MARY DORCAS	SPACKMAN MARY DORCAS	Pacific	Individual
SPAVOLD STANLEY	SPAVOLD STANLEY	North America	Individual
SQUIRE JASON CONRAD	SQUIRE JASON CONRAD	-	Individual
STANKOVIC ZORAN	STANKOVIC ZORAN	Europe	Individual
STEERE PAUL JAMES	STEERE PAUL JAMES	Pacific	Individual
STEHR HAGEN HEINZ	STEHR HAGEN HEINZ	Pacific	Individual
STEINER LOTHAR BRUNO	STEINER LOTHAR BRUNO	Africa	Individual
SU LI RONG	SU LI RONG	Asia	Individual
SUEPHAKDI SISAK	SUEPHAKDI SISAK	Asia	Individual
SUGIMOTO TATSUYA	SUGIMOTO TATSUYA	Asia	Individual
SUJJABORRIBOON FAMILY	SUJJABORRIBOON THANIN	Asia	Individual
SUN DE YUE	SUN DE YUE	-	Individual
SUN XIAOXIA	SUN XIAOXIA	-	Individual
SUN ZHONG YI FAMILY	SUN ZHONG YI /BAIYANG/	Asia	Individual
SUPHANNAROT KRITNAPHAN	SUPHANNAROT KRITNAPHAN	Asia	Individual
SUTTER ROLF U	SUTTER ROLF U	Europe	Individual
SUTTHISONG PHIMSUDA	SUTTHISONG PHIMSUDA	Asia	Individual
SUZUKI SHOJI /CHUBU SUISAN/	SUZUKI SHOJI /CHUBU SUISAN/	Asia	Individual
SYCIP GEORGE EDWIN Y	SYCIP GEORGE EDWIN Y	Asia	Individual
TAEPAISITHPONG WORARAN	TAEPAISITHPONG WORARAN	Asia	Individual
TAKAHASHI EMIKO	TAKAHASHI EMIKO	Asia	Individual
TAKEICHI SUSUMU	TAKEICHI SUSUMU	Asia	Individual
KASAOKA FAMILY	TAKEUCHI HIROMI	Asia	Individual
TAN CHOON HOCK FAMILY	TAN CHOON HOCK PATRICK	Asia	Individual
TAN ENG CHUA	TAN ENG CHUA	Asia	Individual
TAN KOK CHING	TAN KOK CHING	Asia	Individual
TAN PAOY TEIK	TAN PAOY TEIK	Asia	Individual
TANABE NOBORU	TANABE NOBORU	Asia	Individual
TANG HONG JUN	TANG HONG JUN	Asia	Individual
TANGCHANSIRI CHUAN	TANGCHANSIRI CHUAN	Asia	Individual
TANGSICHAROENPHON CHATTICHAI	TANGSICHAROENPHON CHATTICHAI	Asia	Individual
TANGSICHAROENPHON NARONG	TANGSICHAROENPHON NARONG	Asia	Individual
TANIGAWA MASATOSHI /OUG HOLDINGS/	TANIGAWA MASATOSHI /OUG HOLDINGS/	Asia	Individual
TANSATHITIKON CHONGKON	TANSATHITIKON CHONGKON	-	Individual
TANTICHALERMSIN PORNCHANOK	TANTICHALERMSIN PORNCHANOK	-	Individual
TAYANARAPORN VACHIRA	TAYANARAPORN VACHIRA	Asia	Individual
TEDESCHI EMIL	TEDESCHI EMIL	Europe	Individual
TEDESCHI FIORIO LADA	TEDESCHI FIORIO LADA	Europe	Individual
TEH KIU CHEONG	TEH KIU CHEONG	Asia	Individual
TEIGEN FAMILY /TH/	TEIGEN FRODE	Asia	Individual
TEIK HNG CHEOW	TEIK HNG CHEOW	-	Individual
THADANI ANIL	THADANI ANIL	Asia	Individual
THAMMAMONGKOL KORKAEW	THAMMAMONGKOL KORKAEW	Asia	Individual
THANAKANCHANASUT SAMRIT	THANAKANCHANASUT SAMRIT	Asia	Individual
THAPAR AYESHA	THAPAR AYESHA	Asia	Individual
THAPAR JYOTI	THAPAR JYOTI	Asia	Individual
THAPAR NITASHA	THAPAR NITASHA	Asia	Individual
THAPAR VARUN ADITYA	THAPAR VARUN ADITYA	Asia	Individual
THAPAR FAMILY	THAPAR VIKRAMADITYA MOHAN	Asia	Individual
TIANGLATDAWONG BUNEK	TIANGLATDAWONG BUNEK	-	Individual
TIEANWORN PRINYA	TIEANWORN PRINYA	Asia	Individual
TING YONG DING	TING YONG DING	-	Individual
TIONG SU KOUK FAMILY	TIONG CHIONG HIIUNG	Asia	Individual
TIONG SU KOUK FAMILY	TIONG CHIONG SOON	Asia	Individual
TIONG FAMILY	TIONG IK KING	Asia	Individual
TIONG SIE MEW	TIONG SIE MEW	-	Individual
TIONG SU KOUK FAMILY	TIONG SU KOUK	Asia	Individual
TIONG SU SING	TIONG SU SING	-	Individual
TRITRUNGTATSANA KIATTISAK	TRITRUNGTATSANA KIATTISAK	Asia	Individual
TRUONG LE KHANH THI	TRUONG LE KHANH THI	Asia	Individual
TSUNODA HARUO	TSUNODA HARUO	Asia	Individual
TU HONG XIA	TU HONG XIA	Asia	Individual
TU JIAN BIN	TU JIAN BIN	Asia	Individual
TVENGE FAMILY	TVENGE TORSTEIN INGVALD	Europe	Individual
UENG SONNI	UENG SONNI	Asia	Individual
UMEZAWA KOJI	UMEZAWA KOJI	Asia	Individual
UTYANAN PHATRAWALI	UTYANAN PHATRAWALI	Asia	Individual
VAN DER GIESEN RONALD J A	VAN DER GIESEN RONALD J A	North America	Individual
VAN SCHAAYK FRANK B H	VAN SCHAAYK FRANK B H	North America	Individual
VANITJAKWONG NARINRAT	VANITJAKWONG NARINRAT	-	Individual
VANITJAKWONG PHONGPAT	VANITJAKWONG PHONGPAT	-	Individual
VEBER MLADEN	VEBER MLADEN	Europe	Individual
VIDAL JOE	VIDAL JOE	North America	Individual
VILLOT JEAN GERARD	VILLOT JEAN GERARD	Europe	Individual
VINDHEIM IVAN OLLE	VINDHEIM IVAN OLLE	Europe	Individual
VONGVADHANAROJ SORAPON	VONGVADHANAROJ SORAPON	Asia	Individual
VONGVADHANAROJ SURAPON FAMILY	VONGVADHANAROJ SORAPOOM /SURAPON FOOD/	Asia	Individual
VONGVADHANAROJ SURAPON FAMILY	VONGVADHANAROJ SUKANYA	Asia	Individual
VONGVADHANAROJ SURAPON FAMILY	VONGVADHANAROJ SURAPON	Asia	Individual
VOROBYEV MAKSIM YURYEVICH	VOROBYEV MAKSIM YURYEVICH	Europe	Individual
VRANKOVIC NEVEN	VRANKOVIC NEVEN	Europe	Individual
WACHIROPPHA YUWADI	WACHIROPPHA YUWADI	Asia	Individual
WANG GUIHUA	WANG GUIHUA	North America	Individual
WANG LIN JIA /PROVEN CHOICE/	WANG LIN JIA /PROVEN CHOICE/	Asia	Individual
WANG MEI YUE /CN/	WANG MEI YUE /CN/	Asia	Individual
WANG MENG DE /TONGWEI /	WANG MENG DE /TONGWEI /	Asia	Individual
WANG YU YING /CN/	WANG YU YING /CN/	Asia	Individual
WANG ZHIQIANG /ALTA NATURAL HERBS/	WANG ZHIQIANG /ALTA NATURAL HERBS/	North America	Individual
WANGLEE LAWANNIS	WANGLEE LAWANNIS	Asia	Individual
WATROTYAN SAWITTRI	WATROTYAN SAWITTRI	-	Individual
WAUCQUEZ GAETAN	WAUCQUEZ GAETAN	Europe	Individual
WEHLMANN DAVID W	WEHLMANN DAVID W	North America	Individual
WEI YU FANG	WEI YU FANG	Asia	Individual
WESSELS FAMILY /ZA/	WESSELS FAMILY /ZA/	Africa	Individual
WEST PERRY DOUGLAS	WEST PERRY DOUGLAS	North America	Individual
WIGHT ROBERT D	WIGHT ROBERT D	North America	Individual
GRIEG FAMILY	WILLUMSEN GRIEG FAMILY	Europe	Individual
WIRAPRASOET THAWISAK	WIRAPRASOET THAWISAK	Asia	Individual
WITHAYAKORN SATHIT	WITHAYAKORN SATHIT	-	Individual
WITZOE GUSTAV	WITZOE GUSTAV	Europe	Individual
WONG BAK HEE /CCK/	WONG BAK HEE /CCK/	Asia	Individual
WONG KEE HUNG	WONG KEE HUNG	-	Individual
WONG POH HWA /CCK/	WONG POH HWA /CCK/	Asia	Individual
WONG SEE KHONG	WONG SEE KHONG	-	Individual
WONWIT LINA	WONWIT LINA	-	Individual
WU CHANG HUI /CN/	WU CHANG HUI /CN/	Asia	Individual
WU FAMILY /YUNG YUAN/	WU CHUNG HO	Asia	Individual
WU FAMILY /YUNG YUAN/	WU FAMILY /YUNG YUAN/	Asia	Individual
WU HOU GANG	WU HOU GANG	Asia	Individual
WU FAMILY /TAIPO/	WU HSIU CHI FAMILY /TAIPO/	Asia	Individual
WU FAMILY /TAIPO/	WU PING CHIH	Asia	Individual
XIONG WILLIAM	XIONG WILLIAM	North America	Individual
XIONG ZHAO MING	XIONG ZHAO MING	Asia	Individual
YACONI SANTA CRUZ ANA MARIA	YACONI SANTA CRUZ ANA MARIA	Latin America	Individual
YACONI SANTA CRUZ MARCELA PAULA	YACONI SANTA CRUZ MARCELA PAULA	Latin America	Individual
YAMADA FAMILY /UORIKI/	YAMADA FAMILY /UORIKI/	Asia	Individual
YAMADA FAMILY /UORIKI/	YAMADA KATSUHIRO /UORIKI/	Asia	Individual
YAMADA FAMILY /UORIKI/	YAMADA MASAYUKI /UORIKI/	Asia	Individual
YAMAMOTO TOMIHIRO	YAMAMOTO TOMIHIRO	Asia	Individual
YANG I HSUAN /TW/	YANG I HSUAN /TW/	Asia	Individual
YANGTHONG PAIROJ	YANGTHONG PAIROJ	-	Individual
YAP KOI MING	YAP KOI MING	Asia	Individual
YII CHING YII /CCK/	YII CHING YII /CCK/	Asia	Individual
YONG FEN YOO	YONG FEN YOO	Asia	Individual
YONG PEI LING	YONG PEI LING	-	Individual
YONGMEEVIDHYA TASSANEE	YONGMEEVIDHYA TASSANEE	Asia	Individual
CHOO CHIN WOO FAMILY	YOON SUNG-AE	Asia	Individual
YOSHIDA TAKESHI /TSUKIJI UOICHIBA/	YOSHIDA TAKESHI /TSUKIJI UOICHIBA/	Asia	Individual
YOSHIKAWA TADASHI /TOKYO ICHIBAN FOODS/	YOSHIKAWA TADASHI /TOKYO ICHIBAN FOODS/	Asia	Individual
YOSHIKAWA TERUKI	YOSHIKAWA TERUKI	Asia	Individual
YOSHIKAWA TOSHIO /YOKOHAMA REITO/	YOSHIKAWA TOSHIO /YOKOHAMA REITO/	Asia	Individual
ZALZALAH ABDULMAJID ABDULRAZAQ ALI	ZALZALAH ABDULMAJID ABDULRAZAQ ALI	Middle East	Individual
ZHANG BAI QUAN	ZHANG BAI QUAN	Asia	Individual
ZHANG FAMILY /NINGBO/	ZHANG BANG HUI	Asia	Individual
ZHANG HONG WEI	ZHANG HONG WEI	Asia	Individual
ZHANG JIAN ZHONG /DALIAN YI QIAO/	ZHANG JIAN ZHONG /DALIAN YI QIAO/	Asia	Individual
ZHANG QI DE	ZHANG QI DE	Asia	Individual
ZHANG SU FEN	ZHANG SU FEN	Asia	Individual
ZHANG WEI XIANG /CN/	ZHANG WEI XIANG /CN/	Asia	Individual
ZHANG YAO /PROC/	ZHANG YAO /PROC/	Asia	Individual
ZHANG ZHAO HUI /CN/	ZHANG ZHAO HUI /CN/	Asia	Individual
ZHAO JI QING /CHINA/	ZHAO JI QING /CHINA/	Asia	Individual
ZHAO YU /CN/	ZHAO YU /CN/	Asia	Individual
ZHU AI MIN	ZHU AI MIN	Asia	Individual
ZHU DE HONG /CHINA/	ZHU DE HONG /CHINA/	Asia	Individual
ZHUO XIN RONG	ZHUO XIN RONG	North America	Individual
GAETANO ALTINI TRUST	GAETANO ALTINI TRUST	Africa	Individual
GIOVANNA ALTINI TRUST	GIOVANNA ALTINI TRUST	Africa	Individual
Tommaso Altini Trust	Tommaso Altini Trust	Africa	Individual
LEONARDO ALTINI TRUST	LEONARDO ALTINI TRUST	Africa	Individual
CLAUDIA ALTINI TRUST	CLAUDIA ALTINI TRUST	Africa	Individual
LUCA ALTINI TRUST	LUCA ALTINI TRUST	Africa	Individual
LUCIA ALTINI TRUST	LUCIA ALTINI TRUST	Africa	Individual
Geuking Family Trust	Geuking Family Trust	Africa	Individual
DIPPENAAR LAURITZ LANSER	Dippenaar Family Trust	Africa	Individual
Brian Elmes Family Trust	Brian Elmes Family Trust	Africa	Individual
Mib Trust	Mib Trust	Africa	Individual
Ph Moore Will Trust	Ph Moore Will Trust	Africa	Individual
